keys,en
RHAP_READY_TEXT,RampagingHippy-Archipelago's translation file is working correctly!
RHAP_MAIN_MENU_BUTTON,AP
RHAP_MENU_TAB_SLOT_DATA_TITLE,Slot Data
RHAP_MENU_TAB_Progress_TITLE,Progress
RHAP_MENU_CONNECT_HOST,Host:
RHAP_MENU_CONNECT_PLAYER,Player:
RHAP_MENU_CONNECT_PASSWORD,Password:
RHAP_MENU_CONNECT_CONNECT,Connect
RHAP_MENU_CONNECT_DISCONNECT,Disconnect
RHAP_MENU_CONNECT_CONNECTING,Connecting
RHAP_MENU_CONNECT_DISCONNECTING,Disconnecting
RHAP_MENU_CONNECT_CONNECTED_TO_SERVER,Connected to server
RHAP_MENU_CONNECT_CONNECTED_TO_MULTIWORLD,Connected to multiworld
RHAP_MENU_CONNECT_DISCONNECTED,Disconnected
RHAP_MENU_CONNECT_SHOW_PASSWORD,Show
RHAP_MENU_CONNECT_HIDE_PASSWORD,Hide
RHAP_MENU_SLOT_DATA_WINS_NEEDED,Wins Needed
RHAP_MENU_SLOT_DATA_DEATHLINK,Deathlink
RHAP_MENU_SLOT_DATA_WAVES_WITH_CHECKS,Waves With Checks
RHAP_MENU_SLOT_DATA_GOLD_REWARD_MODE,Gold Reward Mode
RHAP_MENU_SLOT_DATA_XP_REWARD_MODE,XP Reward Mode
RHAP_MENU_SLOT_DATA_ENEMY_XP,Enemy XP
RHAP_MENU_SLOT_DATA_STARTING_SHOP_SLOTS,Num. Starting Shop Slots
RHAP_MENU_SLOT_DATA_STARTING_SHOP_LOCK_BUTTONS,Num. Starting Shop Lock Buttons
RHAP_MENU_SLOT_DATA_SPAWN_LOOT_CRATES,Spawn Normal Loot Crates
RHAP_MENU_SLOT_DATA_NUM_COMMON_LOOT_CRATES,Num. Common Loot Crate Locations
RHAP_MENU_SLOT_DATA_NUM_COMMON_LOOT_CRATE_DROPS_PER_CHECK,Num. Common Loot Crates Per Check
RHAP_MENU_SLOT_DATA_NUM_COMMON_LOOT_CRATE_GROUPS,Num. Common Loot Crate Groups
RHAP_MENU_SLOT_DATA_NUM_LEGENDARY_LOOT_CRATES,Num. Legendary Loot Crate Locations
RHAP_MENU_SLOT_DATA_NUM_LEGENDARY_LOOT_CRATE_DROPS_PER_CHECK,Num. Legendary Loot Crates Per Check
RHAP_MENU_SLOT_DATA_NUM_LEGENDARY_LOOT_CRATE_GROUPS,Num. Legendary Loot Crate Groups
RHAP_MENU_SLOT_DATA_ABYSSAL_TERRORS_DLC_ENABLED,Abyssal Terrors DlC
RHAP_CONNECT_ERROR_SERVER_CONNECT_FAILURE,Failed to connect to the server
RHAP_CONNECT_ERROR_PLAYER_NOT_SET,Need to set player name before connecting
RHAP_CONNECT_ERROR_GAME_NOT_SET,Client needs to set game name before connecting
RHAP_CONNECT_ERROR_INVALID_SERVER,Invalid server name
RHAP_CONNECT_ERROR_AP_INVALID_SLOT,AP: Invalid player name
RHAP_CONNECT_ERROR_AP_INVALID_GAME,AP: Invalid game
RHAP_CONNECT_ERROR_AP_INCOMPATIBLE_VERSION,AP: Incompatible versions
RHAP_CONNECT_ERROR_AP_INVALID_PASSWORD,AP: Invalid or missing password
RHAP_CONNECT_ERROR_AP_INVALID_ITEMS_HANDLING,AP: Invalid items handling
RHAP_CONNECT_ERROR_AP_CONNECTION_REFUSED_UNKNOWN_REASON,AP: Failed to connect (unknown error)
RHAP_CONNECT_ERROR_UNKNOWN_ERROR,Unknown error
RHAP_CONNECT_SHOW_PASSWORD,Show
RHAP_CONNECT_HIDE_PASSWORD,Hide
RHAP_COMMON_CRATE_LABEL,Common
RHAP_LEGENDARY_CRATE_LABEL,Legendary
RHAP_PROGRESS_TITLE,Progress
RHAP_PROGRESS_PLACEHOLDER,N/A
RHAP_PROGRESS_RUNS_WON_LABEL,Runs Won
RHAP_PROGRESS_SHOP_SLOTS_LABEL,Shop Slots Unlocked
RHAP_PROGRESS_SHOP_LOCK_BUTTONS_LABEL,Shop Lock Buttons Unlocked
RHAP_PROGRESS_WINS_SINGULAR,win
RHAP_PROGRESS_WINS_PLURAL,win
RHAP_PROGRESS_COMMON_CRATES_TITLE,Common Loot Crate Locations
RHAP_PROGRESS_LEGENDARY_CRATES_TITLE,Legendary Loot Crate Locations
RHAP_PROGRESS_CRATES_ALL_GROUPS_AVAILABLE,All Crates Available!
RHAP_MENU_LOAD_SAVED_RUN_TITLE,Resume saved run?
RHAP_PROGRESS_WINS_NEEDED_TOOLTIP,Number of wins needed to goal
RHAP_MENU_GO_TO_WAVE_SKIP_TO_WAVE,Skip To Wave
RHAP_WAVE_CLEARED_LABEL_DEATHLINK_RECEIVED,DeathLink Received
RHAP_END_RUN_LOST_TO_DEATHLINK_NO_CAUSE,Lost due to DeathLink from {source}
RHAP_END_RUN_LOST_TO_DEATHLINK_WITH_CAUSE,Lost due to DeathLink from {source}: {cause}
RHAP_CHARACTER_SELECT_MISSING_CHARACTER_AP_ITEM,Missing AP item for {character}
RHAP_MENU_SHOP_LOCK_BUTTON_NEED_ITEM,Need item
RHAP_MENU_SHOP_LOCK_DENIED,NOPE
